project_id,project_name,sector,implementing_agency,state,original_cost,revised_cost,expenditure,expenditure_change_recent,physical_progress,progress_change_recent,original_duration_months,months_elapsed,current_delay_months,overdue_milestones,days_since_last_cuf_update,clearance_pending_days,active_litigation,reasons_for_delay
MOSPI_618620,"Additional works 2VUPs, MR-10 junction flyover and underpass in Six lane Indore-Dewas section of NH-52 in the state of Madhya Pradesh on EPC Mode",Roads & Highways,NHAI,,208.0,211.27,150.59,8.05,80.0,0.0,23.4,49.4,32.4,1,15,0,False,
MOSPI_615194,URDHAN EXPANSION OC COST PLUS,Coal,WCL - CIL,,207.0,207.0,50.69,23.37,2.0,0.0,104.0,49.6,0.0,0,15,0,False,
MOSPI_618089,Rehabilitation & Up-gradation of Mudkhed to Nanded section from Km. 372000 to Km 388400 of NH 161A i.e. Nanded-Bhokar-Himayatnagar-Kinwat-Mahur-Arani Road Design chainage from Km 372000 Mudkhed to Km 387650 Nanded of NH 161A Length 15.65 Km to 2/4Lane with paved shoulders configuration in the State of Maharashtra on EPC mode.,Roads & Highways,MoRTH,,207.0,207.0,74.51,74.51,65.0,0.0,36.3,53.7,18.9,1,15,0,False,
MOSPI_619184,"Rehabilitation and up-gradation of section to Intermediate/2-Lane with hard shoulder from Km 107.760 to Km 129.445 After Middle strait to Humphrey, Km 130.600 to Km 138.00 After Humphrey to Kadamtala & Km 155.00 to Km 181.0 End of Jarwa to Rangat of NH-04 in UT of A&N on EPC Package-IIIA",Roads & Highways,NHIDCL,,207.0,376.48,0.0,0.0,78.0,0.0,90.5,102.6,15.6,1,15,0,False,
MOSPI_618342,Rehabilitation and upgradation to 2 Lane with Paved shoulder of Economic corridor  of NH-6 from Design chaiange Km 0.000 to Km 13.510 Package-1 in the state  of Mizoram under Bharatmala Pariyojana on EPC mode,Roads & Highways,NHIDCL,,207.0,207.0,0.0,0.0,0.0,0.0,27.4,77.9,24.0,1,15,0,False,
MOSPI_617250,Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant,Steel,Steel Authority of India Limited [SAIL],,207.0,207.0,103.47,16.85,56.0,4.0,21.1,19.8,6.1,1,15,0,False,
MOSPI_612211,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",Healthcare,Employee's State Insurance Company [ESIC],,206.0,206.0,51.74,0.0,58.0,8.0,37.3,48.7,13.8,1,15,0,False,
MOSPI_618132,Widening & strengthening of existing carriageway in 2 lane with paved shoulders from km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode in the state of Telangana,Roads & Highways,MoRTH,,206.0,206.0,152.77,0.0,99.0,1.0,27.2,102.6,0.0,0,15,0,False,
MOSPI_709750,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,Petroleum,Chennai Petroleum Corporation Limited [CPCL],,205.0,205.0,117.88,3.01,77.0,2.0,20.0,31.8,15.3,1,15,0,False,
MOSPI_612068,Jaipur Metro Phase 1D Project from Mansarovar to Ajmer Road Chauraha,Urban Transport,Jaipur Metro Rail Corporation,,205.0,205.0,23.34,0.0,12.0,0.0,36.0,4.1,0.0,0,15,0,False,
MOSPI_702840,Mira-Bhayandar Water Supply Infrastructure Project,Water Resources,Ministry of Housing & Urban Affairs,,205.0,205.0,1765.97,197.48,99.0,0.0,76.3,117.9,33.0,1,15,0,False,
MOSPI_618349,Balance work of Widening to 2 Two lane with hard shoulder of Churachandpur to Tuivai section of NH-102B from Design Chainage km 118850 to km 130000 Package-4A in the State of Manipur on EPC Mode,Roads & Highways,NHIDCL,,204.0,204.0,112.41,112.41,26.0,1.0,76.1,76.6,0.0,0,15,0,False,
MOSPI_617950,Construction of Srinivasapura Bypass from existing Km 453.890   Design Ch. 0000    to existing Km 461.450   Design Ch 10080    on NH-69 in the State of Karnataka Under NH   O    in EPC mode under Annual Plan 2022-23  NH-69-KNT-2022-23-966 dated 22.11.2022,Roads & Highways,MoRTH,,204.0,204.0,9.76,9.76,22.0,22.0,49.4,45.5,0.0,0,15,0,False,
MOSPI_618325,Dillai to Lahorijan Package-7,Roads & Highways,NHIDCL,,204.0,204.0,142.21,142.21,0.0,0.0,31.9,57.7,21.3,1,15,0,False,
MOSPI_619191,Kanpur LPG Bottling Plant,Petroleum,Bharat Petroleum Corporation Limited [BPCL],,202.0,202.0,132.75,1.95,62.0,2.0,24.1,11.6,0.0,0,15,0,False,
MOSPI_709785,Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],Petroleum,Indian Oil Corporation Limited [IOCL],,202.0,202.07,65.98,0.68,58.0,0.0,36.0,43.2,13.7,1,15,0,False,
MOSPI_618290,"Construction of 2-lane with Paved shoulder of Kohima- Bypass Road Connecting NH-39New NH-02, NH-150New NH-02, NH-61New NH-29, NH-39New NH-02 from Design Km 32.00 to Design Km 43.454Design Length-11.454 Km in the State of Nagaland under SARDP-NE on EPC Mode Package-IV",Roads & Highways,NHIDCL,,202.0,202.0,102.32,0.2,47.0,0.0,20.5,73.5,56.5,1,15,0,False,
MOSPI_616694,Flyover between Siju & Paradeep coaching yard 7 km PB73/2023-24/NR,Railways,CAO/C/ECOR ECoR mor,,201.0,201.0,55.91,18.65,0.0,-5.0,63.4,40.9,0.0,0,15,0,False,
MOSPI_618655,2L PS of Roshni to Ashapur Section of NH-347B from Design KM Ch. 89.900 to 114.000 KM Package  III of Betul  Khandwa,Roads & Highways,NHAI,,201.0,120.75,126.72,0.0,99.0,1.0,29.4,30.2,0.0,0,15,0,False,
MOSPI_619347,Balance Work Estimate of Rehabilitation and Up-gradation of NH- 43 from Km. 468.600 to Km. 531.250 Pathalgaon to kunkuri Section to two-lane with paved shoulder in the State of Chhattisgarh on SBD mode under NHO under Annual plan 2025-26,Roads & Highways,MoRTH,,201.0,201.0,0.0,0.0,0.0,0.0,27.1,6.3,0.0,0,15,0,False,
MOSPI_617969,Construction of 4 Lane ROB and its approaches at the level crossing LC No 29  B of Km 29 Ekangarsarai at NH  110 New NH 33 & Railway Km 32.63 at Fatwa FUT Islampur IPR section in the state of Bihar on EPC mode.,Roads & Highways,MoRTH,,201.0,201.0,0.01,0.0,62.0,2.0,40.3,42.2,5.4,0,15,0,False,
MOSPI_618824,"Development to 4-laning of the de-scoped stretches from Km 115.342 to Km 191.700 of NH-34 in Nadia District 3.962 & Murshidabad District 5.538 pertaining to Krishnagar to Berhampore section of NH-34 New NH-12 , in the state of West Bengal under NHO.",Roads & Highways,NHAI,,201.0,197.74,64.63,7.64,55.0,2.0,22.4,30.4,17.4,1,15,0,False,
MOSPI_617972,Upgradation to Two lane with Paved Shoulder Configuration of Narayanpur Kasturmeta pkg-II from design ch. 48.693 to 70.453  design length21.760 Km.    on NH-130D under EPC mode in the state of Chhattisgarh.,Roads & Highways,MoRTH,,201.0,201.0,14.99,14.99,0.0,0.0,41.5,44.5,0.0,0,15,0,False,
MOSPI_617333,Construction of surface traingle between Bhadaura and new crossing station Karma Dildarnagar-Taraghat line  11.1 km PB72/NR/2022-23,Railways,CAO/Con/South/MHX ECR mor,,200.0,200.0,64.04,56.37,0.0,-1.0,52.8,47.3,0.0,0,15,0,False,
